"row_id","snapnum","MstarSpheroid"
1,125,0
2,125,0
3,125,0
4,125,433901578.6880072
5,125,0
6,125,0
7,125,0
8,125,60068799.32640536
9,125,0
10,125,0
11,125,0
12,125,8832459698.254326
13,125,1742521549.931299
14,125,0
15,125,0
16,125,0
17,125,0
18,125,813705873.3731687
19,125,9241453265.44539
20,125,1731580003.4027731
21,125,0
22,125,1474316343.7251115
23,125,0
24,125,0
25,125,4517649930.960046
26,125,15419596916.43534
27,125,11439565124.17964
28,125,294837461.50152653
29,125,0
30,125,0
31,125,0
32,125,0
33,125,0
34,125,0
35,125,0
36,125,0
37,125,0
38,125,0
39,125,11917342411.906944
40,125,0
41,125,127121925884.24129
42,125,0
43,125,266711890.70057333
44,125,22127697273.124702
45,125,1604283990.7107399
46,125,0
47,125,14860437409.287243
48,125,0
49,125,0
50,125,2617546756.7097497
51,125,0
52,125,1578205157.0954778
53,125,0
54,125,0
55,125,16192256055.646793
56,125,0
57,125,0
58,125,0
59,125,0
60,125,0
61,125,0
62,125,0
63,125,1922185706.5319595
64,125,0
65,125,0
66,125,0
67,125,0
68,125,0
69,125,0
70,125,0
71,125,0
72,125,0
73,125,0
74,125,0
75,125,1220751415.9467175
76,125,0
77,125,0
78,125,0
79,125,1383464775.6109269
80,125,0
81,125,0
82,125,0
83,125,0
84,125,0
85,125,0
86,125,9601101933.74334
87,125,73075798389.28238
88,125,0
89,125,110227570.11846422
90,125,43397503.116411515
91,125,0
92,125,10208008295.838673
93,125,64934048508.632065
94,125,7966617256.491684
95,125,0
96,125,722351612.3079402
97,125,0
98,125,735693589.1386336
99,125,0
100,125,0
